year,month,pitcher_throws,bat_side,pitch_type,release_speed,plate_speed,hit_exit_speed,hit_spinrate,hit_vertical_angle,hit_bearing,hit_distance,event_result
2016,6,R,R,FF,89.3899115,82.29995728,91.5190506,,-30.2307148,-18.12605858,5.743456364,field_out
2016,5,R,R,FF,90.18117969,82.79650879,,,,,,single
2016,7,R,R,FF,96.10945761,88.33859253,100.3436661,,-1.721553326,10.02125454,44.10434723,field_out
2016,8,R,R,FT,90.75379703,84.09076691,107.1757889,1707.55249,19.8803196,-7.017566204,404.27005,double
2016,7,L,R,FT,89.88013022,83.11170959,,,,,,field_out
2016,4,R,L,FF,97.39843719,89.25263214,,,,,,field_error
2016,7,L,R,FF,93.17137131,85.77327728,76.59328461,4697.338867,46.52333069,35.97538376,217.8982391,field_out
2016,6,R,L,FF,86.2790878,80.28145599,90.40499115,3266.124756,27.18160629,-15.01556015,344.3026733,field_out
2016,5,R,R,FF,96.39941376,89.05420685,108.3798065,1691.848633,17.05021095,2.364350796,385.4313354,double
2016,6,R,R,FF,93.58621579,86.95953369,97.68152618,4776.626953,45.65878677,11.15412426,314.7232361,field_out
2016,7,L,R,FT,91.90310065,85.29542542,,,,,,field_error
2016,6,R,R,FT,90.86975659,84.46440125,100.7826691,,-8.913315773,11.3892107,11.62992573,single
2016,7,R,R,FT,91.55025806,83.99373627,82.57772064,1556.758789,4.454429626,4.829116821,97.7498703,field_out
2016,6,R,R,FF,87.74945258,80.90599823,95.81561279,2892.188965,27.34088326,-3.707862139,376.0808105,field_out
2016,7,R,R,FT,89.41372156,81.97125244,,,,,,field_out
2016,6,R,R,FF,92.97684271,87.12638855,79.70136261,3800.357666,9.940599442,24.71551514,152.0574951,single
2016,4,L,R,FT,91.94939914,84.33691406,,,,,,field_out
2016,6,R,R,FF,95.2716828,87.32798004,49.57439804,,-21.85185242,29.09970665,4.828079224,field_out
2016,8,R,R,FF,92.17404413,84.57292175,93.6200943,3737.121582,40.16439056,14.76895428,337.147583,field_out
2016,5,R,L,FF,86.83053313,81.00268555,,,,,,single
2016,6,R,R,FT,91.81466626,84.91916656,97.40483093,,-6.252603054,26.90625572,18.57366753,single
2016,7,L,R,FT,88.83442325,81.25209045,90.53762817,1238.234009,15.27590179,-7.238517284,193.36586,single
2016,6,R,R,FF,98.05756372,90.23826599,,,,,,field_out
2016,5,R,R,FT,93.10813104,86.76574707,96.00789642,,2.29564476,-1.525867701,74.62382507,single
2016,8,R,L,FF,95.93392087,88.27463531,90.21536255,,-10.92924786,40.68302536,10.07869816,field_out
2016,6,R,L,FF,94.44101563,87.28149414,76.7392807,4004.844238,33.65235519,-14.11803055,268.3614197,field_out
2016,5,R,R,FF,91.12105261,83.86003876,107.209259,1397.918823,14.67708111,-25.61983109,342.5648499,double
2016,5,R,R,FT,94.6225361,87.7221756,102.8100739,,-12.26956177,-3.931405783,9.378870964,single
2016,7,L,L,FT,87.93812231,81.1836319,93.7853241,1448.540894,17.46143341,38.31389618,274.6341858,single
2016,10,R,R,FF,93.08474765,85.14875793,82.96713257,5138.057129,53.69550705,7.54064703,254.1830902,field_out
2016,4,R,R,FF,90.33591385,82.19707489,58.74100113,4281.354492,6.395712376,36.515728,68.16309357,field_out
2016,5,R,R,FT,91.86398264,84.6847229,85.3290863,,-6.350821018,-35.33322906,18.83745384,fielders_choice_out
2016,5,R,R,FT,91.9799422,85.24134064,76.95133209,4775.873535,49.02430725,-13.93376637,231.519989,field_out
2016,4,R,L,FF,87.36848123,81.27265167,81.48243713,,83.16153717,-62.9680481,101.7064362,field_out
2016,6,R,R,FT,92.25179105,85.80397797,105.2019501,1603.448486,23.0833683,-15.32768631,421.4055481,home_run
2016,7,R,R,FT,84.50604494,77.9291153,88.81703186,935.8024292,5.418982029,0.309805691,95.79529572,field_out
2016,7,R,L,FF,88.94613696,81.48816681,53.50653076,3062.099121,2.444590807,-162.7792816,44.96839905,hit_by_pitch
2016,6,L,R,FF,89.40631213,83.46873474,76.45919037,3332.764648,21.42359734,25.32899094,233.0324249,single
2016,8,L,R,FT,92.20630426,85.51700592,85.87043762,3788.084473,21.80380058,29.44114685,271.5298767,field_out
2016,8,L,R,FF,91.90183105,85.62958527,89.84423065,1037.719604,16.75538445,-13.26138592,240.6685791,single
2016,8,R,L,FT,95.1330787,88.13924408,98.52100372,,-14.69102859,6.603639126,7.877999306,field_out
2016,9,R,R,FF,94.61832147,86.23753357,98.3953476,,-7.750590801,-2.75219512,19.03395081,single
2016,6,R,R,FT,92.03141272,84.615242,84.88459778,,-11.5032444,-10.1359787,13.41336536,field_out
2016,7,L,L,FF,92.10384192,85.82470703,102.4524918,,6.442829132,9.952944756,156.5757446,double
2016,6,R,L,FF,92.49455374,85.11631012,89.26122284,,0.820213497,21.52140045,50.91867065,field_out
2016,6,R,R,FF,90.8082438,83.46754456,88.74491119,1208.950317,9.355287552,3.082385778,168.4365845,field_out
2016,9,R,R,FT,95.13750146,86.25977325,96.28040314,2928.578613,23.3611908,12.72327423,333.4093018,field_out
2016,5,R,R,FF,93.3904072,87.05841064,100.009819,4291.401855,7.046998978,41.93743515,151.9967499,field_out
2016,5,L,L,FT,89.73328418,82.17193604,68.16357422,,-43.40401459,25.08462906,6.283276081,field_out
2016,5,R,R,FF,93.41358246,85.60417175,,,,,,field_out
2016,7,R,L,FF,94.22990948,86.69368744,99.2427063,1765.604004,19.05400848,3.027105808,369.5080261,double
2016,4,L,R,FF,87.59963028,81.18106842,98.71305847,3117.158691,33.48035812,-0.066944391,389.7742004,field_out
2016,5,L,R,FT,90.23575134,83.33338928,107.7591782,,-3.9849751,5.412101269,19.92659187,force_out
2016,6,R,L,FT,91.19852896,84.59892273,72.7624588,,-45.25426483,27.28310204,2.16763401,field_out
2016,4,R,L,FF,96.30838815,89.00294495,94.43369293,2097.932861,19.02815628,41.13464737,299.9869995,double
2016,9,R,R,FT,93.30319037,86.55860138,72.26592255,4760.006836,18.21201706,42.01771927,182.142807,double
2016,7,L,L,FF,91.56350552,83.83013916,,,,,,field_out
2016,9,R,R,FF,94.22285388,86.83408356,41.08569336,,-50.52328873,-4.731038094,4.107161522,field_out
2016,9,R,L,FF,93.29419916,86.46117401,105.7532043,3922.36377,4.915155888,43.30904007,104.2047501,double
2016,7,R,R,FF,89.40263864,82.21328735,86.72868347,5263.177734,58.35400391,29.45306396,203.8985901,field_out
2016,8,L,R,FF,103.3969277,95.85240936,83.33677673,3386.98999,20.41804886,27.49162483,231.8959961,single
2016,8,L,L,FF,92.81319019,85.85864258,80.68229675,5135.775391,45.2000885,-41.79354858,259.8147583,field_out
2016,6,R,R,FF,87.77422003,81.84700012,79.08824921,,-19.00164986,-19.409832,8.458744049,field_out
2016,8,R,L,FT,93.41806766,85.07620239,75.06903839,666.5332642,12.33711147,11.04555702,137.2995453,field_out
2016,7,R,R,FT,87.05312804,79.67602539,86.76969147,,-9.465841293,-22.29556847,11.92280579,single
2016,4,R,R,FT,91.32008722,83.30796814,103.9294128,,0.668349981,-2.045915365,65.38347626,single
